title|popularity|year|rank
The Dark Knight|123.167259|2008|1
Twilight|31.282029|2008|2
Iron Man|22.073099|2008|3
Seven Pounds|21.708267|2008|4
The Incredible Hulk|19.125537|2008|5
The Scorpion King: Rise of a Warrior|18.691187|2008|6
The Curious Case of Benjamin Button|17.934821|2008|7
Kung Fu Panda|16.897541|2008|8
Taken|16.367481|2008|9
WALL��E|16.088366|2008|10
Avatar|185.070892|2009|1
The Twilight Saga: New Moon|30.121292|2009|2
The Hangover|23.947351|2009|3
Angels & Demons|22.211558|2009|4
Up|19.330884|2009|5
Harry Potter and the Half-Blood Prince|19.083723|2009|6
The Pink Panther 2|18.54675|2009|7
9|18.502877|2009|8
Dogtooth|17.713581|2009|9
Saw VI|17.360894|2009|10
The Twilight Saga: Eclipse|34.047399|2010|1
Inception|29.108149|2010|2
Grown Ups|23.981251|2010|3
Harry Potter and the Deathly Hallows: Part 1|23.300362|2010|4
Despicable Me|22.274502|2010|5
TRON: Legacy|21.259|2010|6
The Runaways|19.42051|2010|7
Iron Man 2|19.083344|2010|8
Prince of Persia: The Sands of Time|18.459955|2010|9
Legend of the Guardians: The Owls of Ga'Hoole|17.674048|2010|10
Rise of the Planet of the Apes|41.613762|2011|1
Thor|29.158489|2011|2
Pirates of the Caribbean: On Stranger Tides|27.88772|2011|3
The Twilight Saga: Breaking Dawn - Part 1|25.9725|2011|4
Harry Potter and the Deathly Hallows: Part 2|24.990737|2011|5
The Hangover Part II|21.893532|2011|6
Super 8|19.529911|2011|7
Captain America: The First Avenger|19.323582|2011|8
Real Steel|19.265552|2011|9
The Adventures of Tintin|19.201504|2011|10
The Avengers|89.887648|2012|1
The Amazing Spider-Man|31.102267|2012|2
The Twilight Saga: Breaking Dawn - Part 2|26.080995|2012|3
The Hobbit: An Unexpected Journey|23.253089|2012|4
The Dark Knight Rises|20.58258|2012|5
Skyfall|20.309585|2012|6
The Hunger Games|20.031667|2012|7
Django Unchained|19.785025|2012|8
Ted|19.638605|2012|9
Iron Sky|19.561767|2012|10
Thor: The Dark World|34.905447|2013|1
Pacific Rim|33.949359|2013|2
12 Years a Slave|30.316249|2013|3
Dark Skies|26.972326|2013|4
World War Z|26.114917|2013|5
The Hunger Games: Catching Fire|25.309139|2013|6
The Hangover Part III|25.085639|2013|7
Despicable Me 2|24.82355|2013|8
Frozen|24.248243|2013|9
Iron Man 3|23.721243|2013|10
Big Hero 6|213.849907|2014|1
John Wick|183.870374|2014|2
Gone Girl|154.801009|2014|3
The Hunger Games: Mockingjay - Part 1|147.098006|2014|4
The Maze Runner|76.93789|2014|5
Dawn of the Planet of the Apes|75.385211|2014|6
Whiplash|64.29999|2014|7
Guardians of the Galaxy|53.291601|2014|8
Fury|36.713807|2014|9
Lucy|36.447603|2014|10
Minions|547.488298|2015|1
Ted 2|42.061481|2015|2
Maze Runner: The Scorch Trials|41.225769|2015|3
Avengers: Age of Ultron|37.37942|2015|4
Creed|33.449723|2015|5
Fifty Shades of Grey|33.068431|2015|6
Jurassic World|32.790475|2015|7
Star Wars: The Force Awakens|31.626013|2015|8
Chappie|30.206365|2015|9
Terminator Genisys|30.188198|2015|10
Deadpool|187.860492|2016|1
Captain America: Civil War|145.882135|2016|2
Boyka: Undisputed IV|67.955052|2016|3
The Last King|50.949523|2016|4
The Legend of Tarzan|45.38298|2016|5
Doctor Strange|43.847654|2016|6
Suicide Squad|42.965027|2016|7
Fantastic Beasts and Where to Find Them|41.051421|2016|8
Now You See Me 2|39.540653|2016|9
Rogue One: A Star Wars Story|36.567575|2016|10
Wonder Woman|294.337037|2017|1
Beauty and the Beast|287.253654|2017|2
Baby Driver|228.032744|2017|3
Guardians of the Galaxy Vol. 2|185.330992|2017|4
War for the Planet of the Apes|146.161786|2017|5
Pirates of the Caribbean: Dead Men Tell No Tales|133.82782|2017|6
Captain Underpants: The First Epic Movie|88.561239|2017|7
The Circle|88.439243|2017|8
The Bad Batch|78.8072|2017|9
Alien: Covenant|72.884078|2017|10
